,id,indicator,m_cp,Название на русском
2487,MAR,n_sdg3_ncds,0,Марокко
2488,MLI,n_sdg3_ncds,0,Мали
2489,GNQ,n_sdg3_ncds,0,Экватор. Гвинея
2490,KEN,n_sdg3_ncds,0,Кения
2491,PHL,n_sdg3_ncds,0,Филиппины
2492,COL,n_sdg3_ncds,1,Колумбия
2493,GEO,n_sdg3_ncds,0,Грузия
2494,MDG,n_sdg3_ncds,0,Мадагаскар
2495,ISR,n_sdg3_ncds,1,Израиль
2496,SSD,n_sdg3_ncds,0,Южный Судан
2497,TCD,n_sdg3_ncds,0,Чад
2498,LSO,n_sdg3_ncds,0,Лесото
2499,ZWE,n_sdg3_ncds,0,Зимбабве
2500,BFA,n_sdg3_ncds,0,Буркина-Фасо
2501,GIN,n_sdg3_ncds,0,Гвинея
2502,MNG,n_sdg3_ncds,0,Монголия
2503,MOZ,n_sdg3_ncds,0,Мозамбик
2504,AGO,n_sdg3_ncds,0,Ангола
2505,SWZ,n_sdg3_ncds,0,Свазиленд
2506,BRN,n_sdg3_ncds,1,Бруней
2507,SRB,n_sdg3_ncds,0,Сербия
2508,TZA,n_sdg3_ncds,0,Танзания
2509,ECU,n_sdg3_ncds,1,Эквадор
2510,BOL,n_sdg3_ncds,0,Боливия
2511,BEN,n_sdg3_ncds,0,Бенин
2512,NPL,n_sdg3_ncds,0,Непал
2513,GRC,n_sdg3_ncds,1,Греция
2514,MYS,n_sdg3_ncds,0,Малайзия
2515,ARG,n_sdg3_ncds,1,Аргентина
2516,BIH,n_sdg3_ncds,0,Босния и Герцеговина
2517,THA,n_sdg3_ncds,1,Таиланд
2518,PRY,n_sdg3_ncds,0,Парагвай
2519,NER,n_sdg3_ncds,0,Нигер
2520,ZMB,n_sdg3_ncds,0,Замбия
2521,BWA,n_sdg3_ncds,0,Ботсвана
2522,ALB,n_sdg3_ncds,1,Албания
2523,QAT,n_sdg3_ncds,1,Катар
2524,CYP,n_sdg3_ncds,1,Кипр
2525,MWI,n_sdg3_ncds,0,Малави
2526,SEN,n_sdg3_ncds,0,Сенегал
2527,CAF,n_sdg3_ncds,0,Центр.Афр.Респуб.
2528,COG,n_sdg3_ncds,0,Республика Конго
2529,BGR,n_sdg3_ncds,0,Болгария
2530,CHL,n_sdg3_ncds,1,Чили
2531,HUN,n_sdg3_ncds,0,Венгрия
2532,MLT,n_sdg3_ncds,1,Мальта
2533,JPN,n_sdg3_ncds,1,Япония
2534,CIV,n_sdg3_ncds,0,Кот Д'Ивуар
2535,BRA,n_sdg3_ncds,1,Бразилия
2536,UKR,n_sdg3_ncds,0,Украина
2537,KOR,n_sdg3_ncds,1,Корея, Республика
2538,HRV,n_sdg3_ncds,0,Хорватия
2539,URY,n_sdg3_ncds,0,Уругвай
2540,GMB,n_sdg3_ncds,0,Гамбия
2541,USA,n_sdg3_ncds,1,США
2542,SLE,n_sdg3_ncds,0,Сьерра-Леоне
2543,ROU,n_sdg3_ncds,0,Румыния
2544,LBR,n_sdg3_ncds,0,Либерия
2545,PAN,n_sdg3_ncds,1,Панама
2546,GHA,n_sdg3_ncds,0,Гана
2547,MRT,n_sdg3_ncds,0,Мавритания
2548,ITA,n_sdg3_ncds,1,Италия
2549,MKD,n_sdg3_ncds,0,Северная Македония
2550,GAB,n_sdg3_ncds,0,Габон
2551,SVK,n_sdg3_ncds,0,Словакия
2552,MNE,n_sdg3_ncds,0,Черногория
2553,CRI,n_sdg3_ncds,1,Коста-Рика
2554,MDA,n_sdg3_ncds,0,Молдова, Республика
2555,ARM,n_sdg3_ncds,0,Армения
2556,SVN,n_sdg3_ncds,1,Словения
2557,POL,n_sdg3_ncds,0,Польша
2558,AUS,n_sdg3_ncds,1,Австралия
2559,NAM,n_sdg3_ncds,0,Намибия
2560,ZAF,n_sdg3_ncds,0,Южно-Африканская Республика
2561,FRA,n_sdg3_ncds,1,Монако
2562,ESP,n_sdg3_ncds,1,Испания
2563,AUT,n_sdg3_ncds,1,Австрия
2564,CAN,n_sdg3_ncds,1,Канада
2565,GBR,n_sdg3_ncds,1,Великобритания
2566,BEL,n_sdg3_ncds,1,Бельгия
2567,ISL,n_sdg3_ncds,1,Исландия
2568,NZL,n_sdg3_ncds,1,Новая Зеландия
2569,LVA,n_sdg3_ncds,0,Латвия
2570,LTU,n_sdg3_ncds,0,Литва
2571,TUR,n_sdg3_ncds,0,Турция
2572,LUX,n_sdg3_ncds,1,Люксембург
2573,DEU,n_sdg3_ncds,1,Германия
2574,CZE,n_sdg3_ncds,1,Чешская Республика
2575,CHE,n_sdg3_ncds,1,Швейцария
2576,PRT,n_sdg3_ncds,1,Португалия
2577,IRL,n_sdg3_ncds,1,Ирландия
2578,DNK,n_sdg3_ncds,1,Дания
2579,FIN,n_sdg3_ncds,1,Финляндия
2580,EST,n_sdg3_ncds,0,Эстония
2581,NLD,n_sdg3_ncds,1,Нидерланды
2582,NOR,n_sdg3_ncds,1,Норвегия
2583,SWE,n_sdg3_ncds,1,Швеция
2584,AFG,n_sdg3_pollmort,0,Афганистан
2585,ARE,n_sdg3_pollmort,0,ОАЭ
2586,AZE,n_sdg3_pollmort,0,Азербайджан
2587,BGD,n_sdg3_pollmort,0,Бангладеш
2588,BLR,n_sdg3_pollmort,0,Беларусь
2589,BTN,n_sdg3_pollmort,0,Бутан
2590,CHN,n_sdg3_pollmort,0,КНР
2591,DJI,n_sdg3_pollmort,0,Джибути
2592,EGY,n_sdg3_pollmort,0,Египет
2593,ERI,n_sdg3_pollmort,0,Эритрея
2594,ETH,n_sdg3_pollmort,0,Эфиопия
2595,HND,n_sdg3_pollmort,0,Гондурас
2596,IND,n_sdg3_pollmort,0,Индия
2597,IRN,n_sdg3_pollmort,0,Иран
2598,IRQ,n_sdg3_pollmort,0,Ирак
2599,JOR,n_sdg3_pollmort,0,Иордания
2600,KAZ,n_sdg3_pollmort,0,Казахстан
2601,KGZ,n_sdg3_pollmort,0,Кыргызстан 
2602,KHM,n_sdg3_pollmort,0,Камбоджа
2603,LAO,n_sdg3_pollmort,0,Лаос
2604,LKA,n_sdg3_pollmort,0,Шри-Ланка
2605,MMR,n_sdg3_pollmort,0,Мьянма
2606,NIC,n_sdg3_pollmort,0,Никарагуа
2607,PAK,n_sdg3_pollmort,0,Пакистан
2608,PRK,n_sdg3_pollmort,0,Корея (КНДР)
2609,RUS,n_sdg3_pollmort,0,Россия
2610,RWA,n_sdg3_pollmort,0,Руанда
2611,SAU,n_sdg3_pollmort,0,Саудовская Аравия
2612,SDN,n_sdg3_pollmort,0,Судан
2613,SYR,n_sdg3_pollmort,0,Сирия
2614,TJK,n_sdg3_pollmort,0,Таджикистан
2615,TKM,n_sdg3_pollmort,0,Туркменистан
2616,UGA,n_sdg3_pollmort,0,Уганда
2617,UZB,n_sdg3_pollmort,0,Узбекистан
2618,VEN,n_sdg3_pollmort,0,Венесуэла
2619,VNM,n_sdg3_pollmort,0,Вьетнам
2620,YEM,n_sdg3_pollmort,0,Йеменская Арабская Республика
2621,GTM,n_sdg3_pollmort,0,Гватемала
2622,LBY,n_sdg3_pollmort,0,Ливия
2623,SOM,n_sdg3_pollmort,0,Сомали
2624,SLV,n_sdg3_pollmort,0,Эль-Сальвадор
2625,OMN,n_sdg3_pollmort,0,Оман
2626,COD,n_sdg3_pollmort,0,Демократическая Республика Конго
2627,LBN,n_sdg3_pollmort,0,Ливан
2628,CMR,n_sdg3_pollmort,0,Камерун
2629,PER,n_sdg3_pollmort,0,Перу
2630,TUN,n_sdg3_pollmort,0,Тунис
2631,KWT,n_sdg3_pollmort,0,Кувейт
2632,IDN,n_sdg3_pollmort,0,Индонезия
2633,DZA,n_sdg3_pollmort,0,Алжир
2634,BDI,n_sdg3_pollmort,0,Бурунди
2635,MEX,n_sdg3_pollmort,0,Мексика
2636,SGP,n_sdg3_pollmort,0,Сингапур
2637,NGA,n_sdg3_pollmort,0,Нигерия
2638,TGO,n_sdg3_pollmort,0,Того
2639,MAR,n_sdg3_pollmort,0,Марокко
2640,MLI,n_sdg3_pollmort,0,Мали
2641,GNQ,n_sdg3_pollmort,0,Экватор. Гвинея
2642,KEN,n_sdg3_pollmort,0,Кения
2643,PHL,n_sdg3_pollmort,0,Филиппины
2644,COL,n_sdg3_pollmort,0,Колумбия
2645,GEO,n_sdg3_pollmort,0,Грузия
2646,MDG,n_sdg3_pollmort,0,Мадагаскар
2647,ISR,n_sdg3_pollmort,1,Израиль
2648,SSD,n_sdg3_pollmort,0,Южный Судан
2649,TCD,n_sdg3_pollmort,0,Чад
2650,LSO,n_sdg3_pollmort,0,Лесото
2651,ZWE,n_sdg3_pollmort,0,Зимбабве
2652,BFA,n_sdg3_pollmort,0,Буркина-Фасо
2653,GIN,n_sdg3_pollmort,0,Гвинея
2654,MNG,n_sdg3_pollmort,0,Монголия
2655,MOZ,n_sdg3_pollmort,0,Мозамбик
2656,AGO,n_sdg3_pollmort,0,Ангола
2657,SWZ,n_sdg3_pollmort,0,Свазиленд
2658,BRN,n_sdg3_pollmort,0,Бруней
2659,SRB,n_sdg3_pollmort,0,Сербия
2660,TZA,n_sdg3_pollmort,0,Танзания
2661,ECU,n_sdg3_pollmort,0,Эквадор
2662,BOL,n_sdg3_pollmort,0,Боливия
2663,BEN,n_sdg3_pollmort,0,Бенин
2664,NPL,n_sdg3_pollmort,0,Непал
2665,GRC,n_sdg3_pollmort,0,Греция
2666,MYS,n_sdg3_pollmort,0,Малайзия
2667,ARG,n_sdg3_pollmort,0,Аргентина
2668,BIH,n_sdg3_pollmort,0,Босния и Герцеговина
2669,THA,n_sdg3_pollmort,0,Таиланд
2670,PRY,n_sdg3_pollmort,0,Парагвай
2671,NER,n_sdg3_pollmort,0,Нигер
2672,ZMB,n_sdg3_pollmort,0,Замбия
2673,BWA,n_sdg3_pollmort,0,Ботсвана
2674,ALB,n_sdg3_pollmort,0,Албания
2675,QAT,n_sdg3_pollmort,0,Катар
2676,CYP,n_sdg3_pollmort,1,Кипр
2677,MWI,n_sdg3_pollmort,0,Малави
2678,SEN,n_sdg3_pollmort,0,Сенегал
2679,CAF,n_sdg3_pollmort,0,Центр.Афр.Респуб.
2680,COG,n_sdg3_pollmort,0,Республика Конго
2681,BGR,n_sdg3_pollmort,0,Болгария
2682,CHL,n_sdg3_pollmort,0,Чили
2683,HUN,n_sdg3_pollmort,0,Венгрия
2684,MLT,n_sdg3_pollmort,0,Мальта
2685,JPN,n_sdg3_pollmort,1,Япония
2686,CIV,n_sdg3_pollmort,0,Кот Д'Ивуар
2687,BRA,n_sdg3_pollmort,0,Бразилия
2688,UKR,n_sdg3_pollmort,0,Украина
2689,KOR,n_sdg3_pollmort,0,Корея, Республика
2690,HRV,n_sdg3_pollmort,0,Хорватия
2691,URY,n_sdg3_pollmort,1,Уругвай
2692,GMB,n_sdg3_pollmort,0,Гамбия
2693,USA,n_sdg3_pollmort,1,США
2694,SLE,n_sdg3_pollmort,0,Сьерра-Леоне
2695,ROU,n_sdg3_pollmort,0,Румыния
2696,LBR,n_sdg3_pollmort,0,Либерия
2697,PAN,n_sdg3_pollmort,0,Панама
2698,GHA,n_sdg3_pollmort,0,Гана
2699,MRT,n_sdg3_pollmort,0,Мавритания
2700,ITA,n_sdg3_pollmort,1,Италия
2701,MKD,n_sdg3_pollmort,0,Северная Македония
2702,GAB,n_sdg3_pollmort,0,Габон
2703,SVK,n_sdg3_pollmort,0,Словакия
2704,MNE,n_sdg3_pollmort,0,Черногория
2705,CRI,n_sdg3_pollmort,0,Коста-Рика
2706,MDA,n_sdg3_pollmort,0,Молдова, Республика
2707,ARM,n_sdg3_pollmort,0,Армения
2708,SVN,n_sdg3_pollmort,0,Словения
2709,POL,n_sdg3_pollmort,0,Польша
2710,AUS,n_sdg3_pollmort,1,Австралия
2711,NAM,n_sdg3_pollmort,0,Намибия
2712,ZAF,n_sdg3_pollmort,0,Южно-Африканская Республика
2713,FRA,n_sdg3_pollmort,1,Монако
2714,ESP,n_sdg3_pollmort,1,Испания
2715,AUT,n_sdg3_pollmort,1,Австрия
2716,CAN,n_sdg3_pollmort,1,Канада
2717,GBR,n_sdg3_pollmort,1,Великобритания
2718,BEL,n_sdg3_pollmort,1,Бельгия
2719,ISL,n_sdg3_pollmort,1,Исландия
2720,NZL,n_sdg3_pollmort,1,Новая Зеландия
2721,LVA,n_sdg3_pollmort,0,Латвия
2722,LTU,n_sdg3_pollmort,0,Литва
2723,TUR,n_sdg3_pollmort,0,Турция
2724,LUX,n_sdg3_pollmort,1,Люксембург
2725,DEU,n_sdg3_pollmort,1,Германия
2726,CZE,n_sdg3_pollmort,0,Чешская Республика
2727,CHE,n_sdg3_pollmort,1,Швейцария
2728,PRT,n_sdg3_pollmort,1,Португалия
2729,IRL,n_sdg3_pollmort,1,Ирландия
2730,DNK,n_sdg3_pollmort,1,Дания
2731,FIN,n_sdg3_pollmort,1,Финляндия
2732,EST,n_sdg3_pollmort,1,Эстония
2733,NLD,n_sdg3_pollmort,1,Нидерланды
2734,NOR,n_sdg3_pollmort,1,Норвегия
2735,SWE,n_sdg3_pollmort,1,Швеция
2736,AFG,n_sdg3_traffic,0,Афганистан
2737,ARE,n_sdg3_traffic,1,ОАЭ
2738,AZE,n_sdg3_traffic,0,Азербайджан
2739,BGD,n_sdg3_traffic,0,Бангладеш
2740,BLR,n_sdg3_traffic,1,Беларусь
2741,BTN,n_sdg3_traffic,0,Бутан
2742,CHN,n_sdg3_traffic,0,КНР
2743,DJI,n_sdg3_traffic,0,Джибути
2744,EGY,n_sdg3_traffic,0,Египет
2745,ERI,n_sdg3_traffic,0,Эритрея
2746,ETH,n_sdg3_traffic,0,Эфиопия
2747,HND,n_sdg3_traffic,0,Гондурас
2748,IND,n_sdg3_traffic,0,Индия
2749,IRN,n_sdg3_traffic,0,Иран
2750,IRQ,n_sdg3_traffic,0,Ирак
2751,JOR,n_sdg3_traffic,0,Иордания
2752,KAZ,n_sdg3_traffic,0,Казахстан
2753,KGZ,n_sdg3_traffic,0,Кыргызстан 
2754,KHM,n_sdg3_traffic,0,Камбоджа
2755,LAO,n_sdg3_traffic,0,Лаос
2756,LKA,n_sdg3_traffic,0,Шри-Ланка
2757,MMR,n_sdg3_traffic,0,Мьянма
2758,NIC,n_sdg3_traffic,0,Никарагуа
2759,PAK,n_sdg3_traffic,0,Пакистан
2760,PRK,n_sdg3_traffic,0,Корея (КНДР)
2761,RUS,n_sdg3_traffic,0,Россия
2762,RWA,n_sdg3_traffic,0,Руанда
2763,SAU,n_sdg3_traffic,0,Саудовская Аравия
2764,SDN,n_sdg3_traffic,0,Судан
2765,SYR,n_sdg3_traffic,0,Сирия
2766,TJK,n_sdg3_traffic,0,Таджикистан
2767,TKM,n_sdg3_traffic,1,Туркменистан
2768,UGA,n_sdg3_traffic,0,Уганда
2769,UZB,n_sdg3_traffic,0,Узбекистан
2770,VEN,n_sdg3_traffic,0,Венесуэла
2771,VNM,n_sdg3_traffic,0,Вьетнам
2772,YEM,n_sdg3_traffic,0,Йеменская Арабская Республика
2773,GTM,n_sdg3_traffic,0,Гватемала
2774,LBY,n_sdg3_traffic,0,Ливия
2775,SOM,n_sdg3_traffic,0,Сомали
2776,SLV,n_sdg3_traffic,0,Эль-Сальвадор
2777,OMN,n_sdg3_traffic,0,Оман
2778,COD,n_sdg3_traffic,0,Демократическая Республика Конго
2779,LBN,n_sdg3_traffic,0,Ливан
2780,CMR,n_sdg3_traffic,0,Камерун
2781,PER,n_sdg3_traffic,0,Перу
2782,TUN,n_sdg3_traffic,0,Тунис
2783,KWT,n_sdg3_traffic,0,Кувейт
2784,IDN,n_sdg3_traffic,0,Индонезия
2785,DZA,n_sdg3_traffic,0,Алжир
2786,BDI,n_sdg3_traffic,0,Бурунди
2787,MEX,n_sdg3_traffic,0,Мексика
2788,SGP,n_sdg3_traffic,1,Сингапур
2789,NGA,n_sdg3_traffic,0,Нигерия
2790,TGO,n_sdg3_traffic,0,Того
2791,MAR,n_sdg3_traffic,0,Марокко
2792,MLI,n_sdg3_traffic,0,Мали
2793,GNQ,n_sdg3_traffic,0,Экватор. Гвинея
2794,KEN,n_sdg3_traffic,0,Кения
2795,PHL,n_sdg3_traffic,0,Филиппины
2796,COL,n_sdg3_traffic,0,Колумбия
2797,GEO,n_sdg3_traffic,0,Грузия
2798,MDG,n_sdg3_traffic,0,Мадагаскар
2799,ISR,n_sdg3_traffic,1,Израиль
2800,SSD,n_sdg3_traffic,0,Южный Судан
2801,TCD,n_sdg3_traffic,0,Чад
2802,LSO,n_sdg3_traffic,0,Лесото
2803,ZWE,n_sdg3_traffic,0,Зимбабве
2804,BFA,n_sdg3_traffic,0,Буркина-Фасо
2805,GIN,n_sdg3_traffic,0,Гвинея
2806,MNG,n_sdg3_traffic,0,Монголия
2807,MOZ,n_sdg3_traffic,0,Мозамбик
2808,AGO,n_sdg3_traffic,0,Ангола
2809,SWZ,n_sdg3_traffic,0,Свазиленд
2810,BRN,n_sdg3_traffic,1,Бруней
2811,SRB,n_sdg3_traffic,1,Сербия
2812,TZA,n_sdg3_traffic,0,Танзания
2813,ECU,n_sdg3_traffic,0,Эквадор
2814,BOL,n_sdg3_traffic,0,Боливия
2815,BEN,n_sdg3_traffic,0,Бенин
2816,NPL,n_sdg3_traffic,0,Непал
2817,GRC,n_sdg3_traffic,1,Греция
2818,MYS,n_sdg3_traffic,0,Малайзия
2819,ARG,n_sdg3_traffic,0,Аргентина
2820,BIH,n_sdg3_traffic,0,Босния и Герцеговина
2821,THA,n_sdg3_traffic,0,Таиланд
2822,PRY,n_sdg3_traffic,0,Парагвай
2823,NER,n_sdg3_traffic,0,Нигер
2824,ZMB,n_sdg3_traffic,0,Замбия
2825,BWA,n_sdg3_traffic,0,Ботсвана
2826,ALB,n_sdg3_traffic,0,Албания
2827,QAT,n_sdg3_traffic,1,Катар
2828,CYP,n_sdg3_traffic,1,Кипр
2829,MWI,n_sdg3_traffic,0,Малави
2830,SEN,n_sdg3_traffic,0,Сенегал
2831,CAF,n_sdg3_traffic,0,Центр.Афр.Респуб.
2832,COG,n_sdg3_traffic,1,Республика Конго
2833,BGR,n_sdg3_traffic,1,Болгария
2834,CHL,n_sdg3_traffic,0,Чили
2835,HUN,n_sdg3_traffic,1,Венгрия
2836,MLT,n_sdg3_traffic,1,Мальта
2837,JPN,n_sdg3_traffic,1,Япония
2838,CIV,n_sdg3_traffic,0,Кот Д'Ивуар
2839,BRA,n_sdg3_traffic,0,Бразилия
2840,UKR,n_sdg3_traffic,0,Украина
2841,KOR,n_sdg3_traffic,1,Корея, Республика
2842,HRV,n_sdg3_traffic,1,Хорватия
2843,URY,n_sdg3_traffic,0,Уругвай
2844,GMB,n_sdg3_traffic,0,Гамбия
2845,USA,n_sdg3_traffic,0,США
2846,SLE,n_sdg3_traffic,0,Сьерра-Леоне
2847,ROU,n_sdg3_traffic,0,Румыния
2848,LBR,n_sdg3_traffic,0,Либерия
2849,PAN,n_sdg3_traffic,1,Панама
2850,GHA,n_sdg3_traffic,0,Гана
2851,MRT,n_sdg3_traffic,0,Мавритания
2852,ITA,n_sdg3_traffic,1,Италия
2853,MKD,n_sdg3_traffic,1,Северная Македония
2854,GAB,n_sdg3_traffic,0,Габон
2855,SVK,n_sdg3_traffic,1,Словакия
2856,MNE,n_sdg3_traffic,0,Черногория
2857,CRI,n_sdg3_traffic,0,Коста-Рика
2858,MDA,n_sdg3_traffic,0,Молдова, Республика
2859,ARM,n_sdg3_traffic,0,Армения
2860,SVN,n_sdg3_traffic,1,Словения
2861,POL,n_sdg3_traffic,1,Польша
2862,AUS,n_sdg3_traffic,1,Австралия
2863,NAM,n_sdg3_traffic,0,Намибия
2864,ZAF,n_sdg3_traffic,0,Южно-Африканская Республика
2865,FRA,n_sdg3_traffic,1,Монако
2866,ESP,n_sdg3_traffic,1,Испания
2867,AUT,n_sdg3_traffic,1,Австрия
2868,CAN,n_sdg3_traffic,1,Канада
2869,GBR,n_sdg3_traffic,1,Великобритания
2870,BEL,n_sdg3_traffic,1,Бельгия
2871,ISL,n_sdg3_traffic,1,Исландия
2872,NZL,n_sdg3_traffic,1,Новая Зеландия
2873,LVA,n_sdg3_traffic,0,Латвия
2874,LTU,n_sdg3_traffic,1,Литва
2875,TUR,n_sdg3_traffic,1,Турция
2876,LUX,n_sdg3_traffic,1,Люксембург
2877,DEU,n_sdg3_traffic,1,Германия
2878,CZE,n_sdg3_traffic,1,Чешская Республика
2879,CHE,n_sdg3_traffic,1,Швейцария
2880,PRT,n_sdg3_traffic,1,Португалия
2881,IRL,n_sdg3_traffic,1,Ирландия
2882,DNK,n_sdg3_traffic,1,Дания
2883,FIN,n_sdg3_traffic,1,Финляндия
2884,EST,n_sdg3_traffic,1,Эстония
2885,NLD,n_sdg3_traffic,1,Нидерланды
2886,NOR,n_sdg3_traffic,1,Норвегия
2887,SWE,n_sdg3_traffic,1,Швеция
2888,AFG,n_sdg3_lifee,0,Афганистан
2889,ARE,n_sdg3_lifee,1,ОАЭ
2890,AZE,n_sdg3_lifee,0,Азербайджан
2891,BGD,n_sdg3_lifee,0,Бангладеш
2892,BLR,n_sdg3_lifee,0,Беларусь
2893,BTN,n_sdg3_lifee,0,Бутан
2894,CHN,n_sdg3_lifee,0,КНР
2895,DJI,n_sdg3_lifee,0,Джибути
2896,EGY,n_sdg3_lifee,0,Египет
2897,ERI,n_sdg3_lifee,0,Эритрея
2898,ETH,n_sdg3_lifee,0,Эфиопия
2899,HND,n_sdg3_lifee,0,Гондурас
2900,IND,n_sdg3_lifee,0,Индия
2901,IRN,n_sdg3_lifee,0,Иран
2902,IRQ,n_sdg3_lifee,0,Ирак
2903,JOR,n_sdg3_lifee,0,Иордания
2904,KAZ,n_sdg3_lifee,0,Казахстан
2905,KGZ,n_sdg3_lifee,0,Кыргызстан 
2906,KHM,n_sdg3_lifee,0,Камбоджа
2907,LAO,n_sdg3_lifee,0,Лаос
2908,LKA,n_sdg3_lifee,0,Шри-Ланка
2909,MMR,n_sdg3_lifee,0,Мьянма
2910,NIC,n_sdg3_lifee,0,Никарагуа
2911,PAK,n_sdg3_lifee,0,Пакистан
2912,PRK,n_sdg3_lifee,0,Корея (КНДР)
2913,RUS,n_sdg3_lifee,0,Россия
2914,RWA,n_sdg3_lifee,0,Руанда
2915,SAU,n_sdg3_lifee,0,Саудовская Аравия
2916,SDN,n_sdg3_lifee,0,Судан
2917,SYR,n_sdg3_lifee,0,Сирия
2918,TJK,n_sdg3_lifee,0,Таджикистан
2919,TKM,n_sdg3_lifee,0,Туркменистан
2920,UGA,n_sdg3_lifee,0,Уганда
2921,UZB,n_sdg3_lifee,0,Узбекистан
2922,VEN,n_sdg3_lifee,0,Венесуэла
2923,VNM,n_sdg3_lifee,0,Вьетнам
2924,YEM,n_sdg3_lifee,0,Йеменская Арабская Республика
2925,GTM,n_sdg3_lifee,0,Гватемала
2926,LBY,n_sdg3_lifee,0,Ливия
2927,SOM,n_sdg3_lifee,0,Сомали
2928,SLV,n_sdg3_lifee,0,Эль-Сальвадор
2929,OMN,n_sdg3_lifee,1,Оман
2930,COD,n_sdg3_lifee,0,Демократическая Республика Конго
2931,LBN,n_sdg3_lifee,0,Ливан
2932,CMR,n_sdg3_lifee,0,Камерун
2933,PER,n_sdg3_lifee,0,Перу
2934,TUN,n_sdg3_lifee,0,Тунис
2935,KWT,n_sdg3_lifee,1,Кувейт
2936,IDN,n_sdg3_lifee,0,Индонезия
2937,DZA,n_sdg3_lifee,0,Алжир
2938,BDI,n_sdg3_lifee,0,Бурунди
2939,MEX,n_sdg3_lifee,0,Мексика
2940,SGP,n_sdg3_lifee,1,Сингапур
2941,NGA,n_sdg3_lifee,0,Нигерия
2942,TGO,n_sdg3_lifee,0,Того
2943,MAR,n_sdg3_lifee,0,Марокко
2944,MLI,n_sdg3_lifee,0,Мали
2945,GNQ,n_sdg3_lifee,0,Экватор. Гвинея
2946,KEN,n_sdg3_lifee,0,Кения
2947,PHL,n_sdg3_lifee,0,Филиппины
2948,COL,n_sdg3_lifee,0,Колумбия
2949,GEO,n_sdg3_lifee,0,Грузия
2950,MDG,n_sdg3_lifee,0,Мадагаскар
2951,ISR,n_sdg3_lifee,1,Израиль
2952,SSD,n_sdg3_lifee,0,Южный Судан
2953,TCD,n_sdg3_lifee,0,Чад
2954,LSO,n_sdg3_lifee,0,Лесото
2955,ZWE,n_sdg3_lifee,0,Зимбабве
2956,BFA,n_sdg3_lifee,0,Буркина-Фасо
2957,GIN,n_sdg3_lifee,0,Гвинея
2958,MNG,n_sdg3_lifee,0,Монголия
2959,MOZ,n_sdg3_lifee,0,Мозамбик
2960,AGO,n_sdg3_lifee,0,Ангола
2961,SWZ,n_sdg3_lifee,0,Свазиленд
2962,BRN,n_sdg3_lifee,0,Бруней
2963,SRB,n_sdg3_lifee,0,Сербия
2964,TZA,n_sdg3_lifee,0,Танзания
2965,ECU,n_sdg3_lifee,0,Эквадор
2966,BOL,n_sdg3_lifee,0,Боливия
2967,BEN,n_sdg3_lifee,0,Бенин
2968,NPL,n_sdg3_lifee,0,Непал
2969,GRC,n_sdg3_lifee,1,Греция
2970,MYS,n_sdg3_lifee,0,Малайзия
2971,ARG,n_sdg3_lifee,0,Аргентина
2972,BIH,n_sdg3_lifee,0,Босния и Герцеговина
2973,THA,n_sdg3_lifee,0,Таиланд
2974,PRY,n_sdg3_lifee,0,Парагвай
2975,NER,n_sdg3_lifee,0,Нигер
2976,ZMB,n_sdg3_lifee,0,Замбия
2977,BWA,n_sdg3_lifee,0,Ботсвана
2978,ALB,n_sdg3_lifee,0,Албания
2979,QAT,n_sdg3_lifee,1,Катар
2980,CYP,n_sdg3_lifee,1,Кипр
2981,MWI,n_sdg3_lifee,0,Малави
2982,SEN,n_sdg3_lifee,0,Сенегал
2983,CAF,n_sdg3_lifee,0,Центр.Афр.Респуб.
2984,COG,n_sdg3_lifee,0,Республика Конго
2985,BGR,n_sdg3_lifee,0,Болгария
2986,CHL,n_sdg3_lifee,1,Чили
2987,HUN,n_sdg3_lifee,0,Венгрия
2988,MLT,n_sdg3_lifee,1,Мальта
2989,JPN,n_sdg3_lifee,1,Япония
2990,CIV,n_sdg3_lifee,0,Кот Д'Ивуар
2991,BRA,n_sdg3_lifee,0,Бразилия
2992,UKR,n_sdg3_lifee,0,Украина
2993,KOR,n_sdg3_lifee,1,Корея, Республика
2994,HRV,n_sdg3_lifee,0,Хорватия
2995,URY,n_sdg3_lifee,0,Уругвай
2996,GMB,n_sdg3_lifee,0,Гамбия
2997,USA,n_sdg3_lifee,0,США
2998,SLE,n_sdg3_lifee,0,Сьерра-Леоне
2999,ROU,n_sdg3_lifee,0,Румыния
3000,LBR,n_sdg3_lifee,0,Либерия
3001,PAN,n_sdg3_lifee,0,Панама
3002,GHA,n_sdg3_lifee,0,Гана
3003,MRT,n_sdg3_lifee,0,Мавритания
3004,ITA,n_sdg3_lifee,1,Италия
3005,MKD,n_sdg3_lifee,0,Северная Македония
3006,GAB,n_sdg3_lifee,0,Габон
3007,SVK,n_sdg3_lifee,0,Словакия
3008,MNE,n_sdg3_lifee,0,Черногория
3009,CRI,n_sdg3_lifee,1,Коста-Рика
3010,MDA,n_sdg3_lifee,0,Молдова, Республика
3011,ARM,n_sdg3_lifee,0,Армения
3012,SVN,n_sdg3_lifee,1,Словения
3013,POL,n_sdg3_lifee,0,Польша
3014,AUS,n_sdg3_lifee,1,Австралия
3015,NAM,n_sdg3_lifee,0,Намибия
3016,ZAF,n_sdg3_lifee,0,Южно-Африканская Республика
3017,FRA,n_sdg3_lifee,1,Монако
3018,ESP,n_sdg3_lifee,1,Испания
3019,AUT,n_sdg3_lifee,1,Австрия
3020,CAN,n_sdg3_lifee,1,Канада
