,id,indicator,m_cp,Название на русском
127,NAM,n_sdg1_wpc,0,Намибия
128,ZAF,n_sdg1_wpc,0,Южно-Африканская Республика
129,FRA,n_sdg1_wpc,1,Монако
130,ESP,n_sdg1_wpc,1,Испания
131,AUT,n_sdg1_wpc,1,Австрия
132,CAN,n_sdg1_wpc,1,Канада
133,GBR,n_sdg1_wpc,1,Великобритания
134,BEL,n_sdg1_wpc,1,Бельгия
135,ISL,n_sdg1_wpc,1,Исландия
136,NZL,n_sdg1_wpc,0,Новая Зеландия
137,LVA,n_sdg1_wpc,1,Латвия
138,LTU,n_sdg1_wpc,1,Литва
139,TUR,n_sdg1_wpc,1,Турция
140,LUX,n_sdg1_wpc,1,Люксембург
141,DEU,n_sdg1_wpc,1,Германия
142,CZE,n_sdg1_wpc,1,Чешская Республика
143,CHE,n_sdg1_wpc,1,Швейцария
144,PRT,n_sdg1_wpc,1,Португалия
145,IRL,n_sdg1_wpc,1,Ирландия
146,DNK,n_sdg1_wpc,1,Дания
147,FIN,n_sdg1_wpc,1,Финляндия
148,EST,n_sdg1_wpc,1,Эстония
149,NLD,n_sdg1_wpc,1,Нидерланды
150,NOR,n_sdg1_wpc,1,Норвегия
151,SWE,n_sdg1_wpc,1,Швеция
152,AFG,n_sdg1_lmicpov,0,Афганистан
153,ARE,n_sdg1_lmicpov,1,ОАЭ
154,AZE,n_sdg1_lmicpov,1,Азербайджан
155,BGD,n_sdg1_lmicpov,0,Бангладеш
156,BLR,n_sdg1_lmicpov,1,Беларусь
157,BTN,n_sdg1_lmicpov,1,Бутан
158,CHN,n_sdg1_lmicpov,1,КНР
159,DJI,n_sdg1_lmicpov,0,Джибути
160,EGY,n_sdg1_lmicpov,0,Египет
161,ERI,n_sdg1_lmicpov,0,Эритрея
162,ETH,n_sdg1_lmicpov,0,Эфиопия
163,HND,n_sdg1_lmicpov,0,Гондурас
164,IND,n_sdg1_lmicpov,0,Индия
165,IRN,n_sdg1_lmicpov,0,Иран
166,IRQ,n_sdg1_lmicpov,0,Ирак
167,JOR,n_sdg1_lmicpov,1,Иордания
168,KAZ,n_sdg1_lmicpov,1,Казахстан
169,KGZ,n_sdg1_lmicpov,0,Кыргызстан 
170,KHM,n_sdg1_lmicpov,0,Камбоджа
